courses, instructor, price, rating, num_voters 
R Programming: R Programming for Beginners,Prashanth Chidambaram,12.99,4.6,-8
Data Science Masterclass With R! 4 Projects+8 Case Studies,Up Degree,12.99,4.2,-459
Learning Path: R: Real-World Data Science Solutions with R,Packt Publishing,12.99,3.8,-10
24h Pro data science in R,Francisco Juretig,12.99,3.6,-25
Data Science on R By OrangeTree Global,OrangeTree Global,12.99,3.6,-3
Projects in Data Science Using R,Eduonix Learning Solutions Eduonix-Tech .,12.99,4.1,-6
R Programming A-Z™: R For Data Science With Real Exercises!,Kirill Eremenko SuperDataScience Team,16.99,4.6,-36260
Machine Learning A-Z™: Hands-On Python & R In Data Science,Kirill Eremenko Hadelin de Ponteves SuperDataScience Team SuperDataScience Support,16.99,4.5,-134017
Data Science and Machine Learning Bootcamp with R,Jose Portilla,16.99,4.7,-12022
Introduction to Time Series Analysis and Forecasting in R,R-Tutorials Training,99.99,4.4,-1874
R Shiny Interactive Web Apps - Next Level Data Visualization,R-Tutorials Training,94.99,3.9,-931
Statistics for Data Analysis Using R,Sandeep Kumar ­,94.99,4.4,-1249
R Programming: Advanced Analytics In R For Data Science,Kirill Eremenko SuperDataScience Team,16.99,4.7,-6306
R Programming Hands-on Specialization for Data Science (Lv1),Irfan Elahi,12.99,3.8,-521
R for Data Science: Learn R Programming in 2 Hours,Ajay R Warrier,12.99,4.4,-138
R Tidyverse Reporting and Analytics for Excel Users,Jonathan Ng,12.99,4.7,-459
Logistic Regression in R Studio,Start-Tech Academy,12.99,4.5,-205
Introduction to R Programming - A Modern Approach,Robert Jeutong,14.99,4.7,-67
Data Science with R - Beginners,SimpliCode Point,12.99,3.3,-157
Data Science and Machine Learning Masterclass with R,Up Degree,12.99,4.4,-252
Tidy Data: Updated Data Processing With tidyr and dplyr in R,Minerva Singh,12.99,4.5,-110
Practical Data Science: Reducing High Dimensional Data in R,Manuel Amunategui,12.99,4.3,-142
Learn Data Science Deep Learning Machine Learning NLP & R,Cinnamon TechX,12.99,4.6,-443
The Comprehensive Statistics and Data Science with R Course,Geoffrey Hubona Ph.D.,12.99,4.5,-226
Practical Data Science: Analyzing Stock Market Data with R,Manuel Amunategui,12.99,4.4,-349
Learn By Example: Statistics and Data Science in R,Loony Corn,12.99,3.8,-372
R Programming: R Programming for Beginners,Prashanth Chidambaram,12.99,4.6,-8
Data Science Masterclass With R! 4 Projects+8 Case Studies,Up Degree,12.99,4.2,-459
Learning Path: R: Real-World Data Science Solutions with R,Packt Publishing,12.99,3.8,-10
24h Pro data science in R,Francisco Juretig,12.99,3.6,-25
Data Science on R By OrangeTree Global,OrangeTree Global,12.99,3.6,-3
Projects in Data Science Using R,Eduonix Learning Solutions Eduonix-Tech .,12.99,4.1,-6
R Programming A-Z™: R For Data Science With Real Exercises!,Kirill Eremenko SuperDataScience Team,16.99,4.6,-36260
Machine Learning A-Z™: Hands-On Python & R In Data Science,Kirill Eremenko Hadelin de Ponteves SuperDataScience Team SuperDataScience Support,16.99,4.5,-134017
Data Science and Machine Learning Bootcamp with R,Jose Portilla,16.99,4.7,-12022
Introduction to Time Series Analysis and Forecasting in R,R-Tutorials Training,99.99,4.4,-1874
R Shiny Interactive Web Apps - Next Level Data Visualization,R-Tutorials Training,94.99,3.9,-931
Statistics for Data Analysis Using R,Sandeep Kumar ­,94.99,4.4,-1249
R Programming: Advanced Analytics In R For Data Science,Kirill Eremenko SuperDataScience Team,16.99,4.7,-6306
R Programming Hands-on Specialization for Data Science (Lv1),Irfan Elahi,12.99,3.8,-521
R for Data Science: Learn R Programming in 2 Hours,Ajay R Warrier,12.99,4.4,-138
R Tidyverse Reporting and Analytics for Excel Users,Jonathan Ng,12.99,4.7,-459
Logistic Regression in R Studio,Start-Tech Academy,12.99,4.5,-205
Introduction to R Programming - A Modern Approach,Robert Jeutong,14.99,4.7,-67
Data Science with R - Beginners,SimpliCode Point,12.99,3.3,-157
Data Science and Machine Learning Masterclass with R,Up Degree,12.99,4.4,-252
Tidy Data: Updated Data Processing With tidyr and dplyr in R,Minerva Singh,12.99,4.5,-110
Practical Data Science: Reducing High Dimensional Data in R,Manuel Amunategui,12.99,4.3,-142
Learn Data Science Deep Learning Machine Learning NLP & R,Cinnamon TechX,12.99,4.6,-443
The Comprehensive Statistics and Data Science with R Course,Geoffrey Hubona Ph.D.,12.99,4.5,-226
Practical Data Science: Analyzing Stock Market Data with R,Manuel Amunategui,12.99,4.4,-349
Learn By Example: Statistics and Data Science in R,Loony Corn,12.99,3.8,-372
R Programming: R Programming for Beginners,Prashanth Chidambaram,12.99,4.6,-8
Data Science Masterclass With R! 4 Projects+8 Case Studies,Up Degree,12.99,4.2,-459
Learning Path: R: Real-World Data Science Solutions with R,Packt Publishing,12.99,3.8,-10
24h Pro data science in R,Francisco Juretig,12.99,3.6,-25
Data Science on R By OrangeTree Global,OrangeTree Global,12.99,3.6,-3
Projects in Data Science Using R,Eduonix Learning Solutions Eduonix-Tech .,12.99,4.1,-6
R Programming A-Z™: R For Data Science With Real Exercises!,Kirill Eremenko SuperDataScience Team,16.99,4.6,-36260
Machine Learning A-Z™: Hands-On Python & R In Data Science,Kirill Eremenko Hadelin de Ponteves SuperDataScience Team SuperDataScience Support,16.99,4.5,-134017
Data Science and Machine Learning Bootcamp with R,Jose Portilla,16.99,4.7,-12022
Introduction to Time Series Analysis and Forecasting in R,R-Tutorials Training,99.99,4.4,-1874
R Shiny Interactive Web Apps - Next Level Data Visualization,R-Tutorials Training,94.99,3.9,-931
Statistics for Data Analysis Using R,Sandeep Kumar ­,94.99,4.4,-1249
R Programming: Advanced Analytics In R For Data Science,Kirill Eremenko SuperDataScience Team,16.99,4.7,-6306
R Programming Hands-on Specialization for Data Science (Lv1),Irfan Elahi,12.99,3.8,-521
R for Data Science: Learn R Programming in 2 Hours,Ajay R Warrier,12.99,4.4,-138
R Tidyverse Reporting and Analytics for Excel Users,Jonathan Ng,12.99,4.7,-459
Logistic Regression in R Studio,Start-Tech Academy,12.99,4.5,-205
Introduction to R Programming - A Modern Approach,Robert Jeutong,14.99,4.7,-67
Data Science with R - Beginners,SimpliCode Point,12.99,3.3,-157
Data Science and Machine Learning Masterclass with R,Up Degree,12.99,4.4,-252
Tidy Data: Updated Data Processing With tidyr and dplyr in R,Minerva Singh,12.99,4.5,-110
Practical Data Science: Reducing High Dimensional Data in R,Manuel Amunategui,12.99,4.3,-142
Learn Data Science Deep Learning Machine Learning NLP & R,Cinnamon TechX,12.99,4.6,-443
The Comprehensive Statistics and Data Science with R Course,Geoffrey Hubona Ph.D.,12.99,4.5,-226
Practical Data Science: Analyzing Stock Market Data with R,Manuel Amunategui,12.99,4.4,-349
Learn By Example: Statistics and Data Science in R,Loony Corn,12.99,3.8,-372
R Programming: R Programming for Beginners,Prashanth Chidambaram,12.99,4.6,-8
Data Science Masterclass With R! 4 Projects+8 Case Studies,Up Degree,12.99,4.2,-459
Learning Path: R: Real-World Data Science Solutions with R,Packt Publishing,12.99,3.8,-10
24h Pro data science in R,Francisco Juretig,12.99,3.6,-25
Data Science on R By OrangeTree Global,OrangeTree Global,12.99,3.6,-3
Projects in Data Science Using R,Eduonix Learning Solutions Eduonix-Tech .,12.99,4.1,-6
R Programming A-Z™: R For Data Science With Real Exercises!,Kirill Eremenko SuperDataScience Team,16.99,4.6,-36260
Machine Learning A-Z™: Hands-On Python & R In Data Science,Kirill Eremenko Hadelin de Ponteves SuperDataScience Team SuperDataScience Support,16.99,4.5,-134017
Data Science and Machine Learning Bootcamp with R,Jose Portilla,16.99,4.7,-12022
Introduction to Time Series Analysis and Forecasting in R,R-Tutorials Training,99.99,4.4,-1874
R Shiny Interactive Web Apps - Next Level Data Visualization,R-Tutorials Training,94.99,3.9,-931
Statistics for Data Analysis Using R,Sandeep Kumar ­,94.99,4.4,-1249
R Programming: Advanced Analytics In R For Data Science,Kirill Eremenko SuperDataScience Team,16.99,4.7,-6306
R Programming Hands-on Specialization for Data Science (Lv1),Irfan Elahi,12.99,3.8,-521
R for Data Science: Learn R Programming in 2 Hours,Ajay R Warrier,12.99,4.4,-138
R Tidyverse Reporting and Analytics for Excel Users,Jonathan Ng,12.99,4.7,-459
Logistic Regression in R Studio,Start-Tech Academy,12.99,4.5,-205
Introduction to R Programming - A Modern Approach,Robert Jeutong,14.99,4.7,-67
Data Science with R - Beginners,SimpliCode Point,12.99,3.3,-157
Data Science and Machine Learning Masterclass with R,Up Degree,12.99,4.4,-252
Tidy Data: Updated Data Processing With tidyr and dplyr in R,Minerva Singh,12.99,4.5,-110
Practical Data Science: Reducing High Dimensional Data in R,Manuel Amunategui,12.99,4.3,-142
Learn Data Science Deep Learning Machine Learning NLP & R,Cinnamon TechX,12.99,4.6,-443
The Comprehensive Statistics and Data Science with R Course,Geoffrey Hubona Ph.D.,12.99,4.5,-226
Practical Data Science: Analyzing Stock Market Data with R,Manuel Amunategui,12.99,4.4,-349
Learn By Example: Statistics and Data Science in R,Loony Corn,12.99,3.8,-372
R Programming: R Programming for Beginners,Prashanth Chidambaram,12.99,4.6,-8
Data Science Masterclass With R! 4 Projects+8 Case Studies,Up Degree,12.99,4.2,-459
Learning Path: R: Real-World Data Science Solutions with R,Packt Publishing,12.99,3.8,-10
24h Pro data science in R,Francisco Juretig,12.99,3.6,-25
Data Science on R By OrangeTree Global,OrangeTree Global,12.99,3.6,-3
Projects in Data Science Using R,Eduonix Learning Solutions Eduonix-Tech .,12.99,4.1,-6
R Programming A-Z™: R For Data Science With Real Exercises!,Kirill Eremenko SuperDataScience Team,16.99,4.6,-36260
Machine Learning A-Z™: Hands-On Python & R In Data Science,Kirill Eremenko Hadelin de Ponteves SuperDataScience Team SuperDataScience Support,16.99,4.5,-134017
Data Science and Machine Learning Bootcamp with R,Jose Portilla,16.99,4.7,-12022
Introduction to Time Series Analysis and Forecasting in R,R-Tutorials Training,99.99,4.4,-1874
R Shiny Interactive Web Apps - Next Level Data Visualization,R-Tutorials Training,94.99,3.9,-931
Statistics for Data Analysis Using R,Sandeep Kumar ­,94.99,4.4,-1249
R Programming: Advanced Analytics In R For Data Science,Kirill Eremenko SuperDataScience Team,16.99,4.7,-6306
R Programming Hands-on Specialization for Data Science (Lv1),Irfan Elahi,12.99,3.8,-521
R for Data Science: Learn R Programming in 2 Hours,Ajay R Warrier,12.99,4.4,-138
R Tidyverse Reporting and Analytics for Excel Users,Jonathan Ng,12.99,4.7,-459
Logistic Regression in R Studio,Start-Tech Academy,12.99,4.5,-205
Introduction to R Programming - A Modern Approach,Robert Jeutong,14.99,4.7,-67
Data Science with R - Beginners,SimpliCode Point,12.99,3.3,-157
Data Science and Machine Learning Masterclass with R,Up Degree,12.99,4.4,-252
Tidy Data: Updated Data Processing With tidyr and dplyr in R,Minerva Singh,12.99,4.5,-110
Practical Data Science: Reducing High Dimensional Data in R,Manuel Amunategui,12.99,4.3,-142
Learn Data Science Deep Learning Machine Learning NLP & R,Cinnamon TechX,12.99,4.6,-443
The Comprehensive Statistics and Data Science with R Course,Geoffrey Hubona Ph.D.,12.99,4.5,-226
Practical Data Science: Analyzing Stock Market Data with R,Manuel Amunategui,12.99,4.4,-349
Learn By Example: Statistics and Data Science in R,Loony Corn,12.99,3.8,-372
R Programming: R Programming for Beginners,Prashanth Chidambaram,12.99,4.6,-8
Data Science Masterclass With R! 4 Projects+8 Case Studies,Up Degree,12.99,4.2,-459
Learning Path: R: Real-World Data Science Solutions with R,Packt Publishing,12.99,3.8,-10
24h Pro data science in R,Francisco Juretig,12.99,3.6,-25
Data Science on R By OrangeTree Global,OrangeTree Global,12.99,3.6,-3
Projects in Data Science Using R,Eduonix Learning Solutions Eduonix-Tech .,12.99,4.1,-6
R Programming A-Z™: R For Data Science With Real Exercises!,Kirill Eremenko SuperDataScience Team,16.99,4.6,-36260
Machine Learning A-Z™: Hands-On Python & R In Data Science,Kirill Eremenko Hadelin de Ponteves SuperDataScience Team SuperDataScience Support,16.99,4.5,-134017
Data Science and Machine Learning Bootcamp with R,Jose Portilla,16.99,4.7,-12022
Introduction to Time Series Analysis and Forecasting in R,R-Tutorials Training,99.99,4.4,-1874
R Shiny Interactive Web Apps - Next Level Data Visualization,R-Tutorials Training,94.99,3.9,-931
Statistics for Data Analysis Using R,Sandeep Kumar ­,94.99,4.4,-1249
R Programming: Advanced Analytics In R For Data Science,Kirill Eremenko SuperDataScience Team,16.99,4.7,-6306
R Programming Hands-on Specialization for Data Science (Lv1),Irfan Elahi,12.99,3.8,-521
R for Data Science: Learn R Programming in 2 Hours,Ajay R Warrier,12.99,4.4,-138
R Tidyverse Reporting and Analytics for Excel Users,Jonathan Ng,12.99,4.7,-459
Logistic Regression in R Studio,Start-Tech Academy,12.99,4.5,-205
Introduction to R Programming - A Modern Approach,Robert Jeutong,14.99,4.7,-67
Data Science with R - Beginners,SimpliCode Point,12.99,3.3,-157
Data Science and Machine Learning Masterclass with R,Up Degree,12.99,4.4,-252
Tidy Data: Updated Data Processing With tidyr and dplyr in R,Minerva Singh,12.99,4.5,-110
Practical Data Science: Reducing High Dimensional Data in R,Manuel Amunategui,12.99,4.3,-142
Learn Data Science Deep Learning Machine Learning NLP & R,Cinnamon TechX,12.99,4.6,-443
The Comprehensive Statistics and Data Science with R Course,Geoffrey Hubona Ph.D.,12.99,4.5,-226
Practical Data Science: Analyzing Stock Market Data with R,Manuel Amunategui,12.99,4.4,-349
Learn By Example: Statistics and Data Science in R,Loony Corn,12.99,3.8,-372
R Programming: R Programming for Beginners,Prashanth Chidambaram,12.99,4.6,-8
Data Science Masterclass With R! 4 Projects+8 Case Studies,Up Degree,12.99,4.2,-459
Learning Path: R: Real-World Data Science Solutions with R,Packt Publishing,12.99,3.8,-10
24h Pro data science in R,Francisco Juretig,12.99,3.6,-25
Data Science on R By OrangeTree Global,OrangeTree Global,12.99,3.6,-3
Projects in Data Science Using R,Eduonix Learning Solutions Eduonix-Tech .,12.99,4.1,-6
R Programming A-Z™: R For Data Science With Real Exercises!,Kirill Eremenko SuperDataScience Team,16.99,4.6,-36260
Machine Learning A-Z™: Hands-On Python & R In Data Science,Kirill Eremenko Hadelin de Ponteves SuperDataScience Team SuperDataScience Support,16.99,4.5,-134017
Data Science and Machine Learning Bootcamp with R,Jose Portilla,16.99,4.7,-12022
Introduction to Time Series Analysis and Forecasting in R,R-Tutorials Training,99.99,4.4,-1874
R Shiny Interactive Web Apps - Next Level Data Visualization,R-Tutorials Training,94.99,3.9,-931
Statistics for Data Analysis Using R,Sandeep Kumar ­,94.99,4.4,-1249
R Programming: Advanced Analytics In R For Data Science,Kirill Eremenko SuperDataScience Team,16.99,4.7,-6306
R Programming Hands-on Specialization for Data Science (Lv1),Irfan Elahi,12.99,3.8,-521
R for Data Science: Learn R Programming in 2 Hours,Ajay R Warrier,12.99,4.4,-138
R Tidyverse Reporting and Analytics for Excel Users,Jonathan Ng,12.99,4.7,-459
Logistic Regression in R Studio,Start-Tech Academy,12.99,4.5,-205
Introduction to R Programming - A Modern Approach,Robert Jeutong,14.99,4.7,-67
Data Science with R - Beginners,SimpliCode Point,12.99,3.3,-157
Data Science and Machine Learning Masterclass with R,Up Degree,12.99,4.4,-252
Tidy Data: Updated Data Processing With tidyr and dplyr in R,Minerva Singh,12.99,4.5,-110
Practical Data Science: Reducing High Dimensional Data in R,Manuel Amunategui,12.99,4.3,-142
Learn Data Science Deep Learning Machine Learning NLP & R,Cinnamon TechX,12.99,4.6,-443
The Comprehensive Statistics and Data Science with R Course,Geoffrey Hubona Ph.D.,12.99,4.5,-226
Practical Data Science: Analyzing Stock Market Data with R,Manuel Amunategui,12.99,4.4,-349
Learn By Example: Statistics and Data Science in R,Loony Corn,12.99,3.8,-372
R Programming: R Programming for Beginners,Prashanth Chidambaram,12.99,4.6,-8
Data Science Masterclass With R! 4 Projects+8 Case Studies,Up Degree,12.99,4.2,-459
Learning Path: R: Real-World Data Science Solutions with R,Packt Publishing,12.99,3.8,-10
24h Pro data science in R,Francisco Juretig,12.99,3.6,-25
Data Science on R By OrangeTree Global,OrangeTree Global,12.99,3.6,-3
Projects in Data Science Using R,Eduonix Learning Solutions Eduonix-Tech .,12.99,4.1,-6
R Programming A-Z™: R For Data Science With Real Exercises!,Kirill Eremenko SuperDataScience Team,16.99,4.6,-36260
Machine Learning A-Z™: Hands-On Python & R In Data Science,Kirill Eremenko Hadelin de Ponteves SuperDataScience Team SuperDataScience Support,16.99,4.5,-134017
Data Science and Machine Learning Bootcamp with R,Jose Portilla,16.99,4.7,-12022
Introduction to Time Series Analysis and Forecasting in R,R-Tutorials Training,99.99,4.4,-1874
R Shiny Interactive Web Apps - Next Level Data Visualization,R-Tutorials Training,94.99,3.9,-931
Statistics for Data Analysis Using R,Sandeep Kumar ­,94.99,4.4,-1249
R Programming: Advanced Analytics In R For Data Science,Kirill Eremenko SuperDataScience Team,16.99,4.7,-6306
R Programming Hands-on Specialization for Data Science (Lv1),Irfan Elahi,12.99,3.8,-521
R for Data Science: Learn R Programming in 2 Hours,Ajay R Warrier,12.99,4.4,-138
R Tidyverse Reporting and Analytics for Excel Users,Jonathan Ng,12.99,4.7,-459
Logistic Regression in R Studio,Start-Tech Academy,12.99,4.5,-205
Introduction to R Programming - A Modern Approach,Robert Jeutong,14.99,4.7,-67
Data Science with R - Beginners,SimpliCode Point,12.99,3.3,-157
Data Science and Machine Learning Masterclass with R,Up Degree,12.99,4.4,-252
Tidy Data: Updated Data Processing With tidyr and dplyr in R,Minerva Singh,12.99,4.5,-110
Practical Data Science: Reducing High Dimensional Data in R,Manuel Amunategui,12.99,4.3,-142
Learn Data Science Deep Learning Machine Learning NLP & R,Cinnamon TechX,12.99,4.6,-443
The Comprehensive Statistics and Data Science with R Course,Geoffrey Hubona Ph.D.,12.99,4.5,-226
Practical Data Science: Analyzing Stock Market Data with R,Manuel Amunategui,12.99,4.4,-349
Learn By Example: Statistics and Data Science in R,Loony Corn,12.99,3.8,-372
R Programming: R Programming for Beginners,Prashanth Chidambaram,12.99,4.6,-8
Data Science Masterclass With R! 4 Projects+8 Case Studies,Up Degree,12.99,4.2,-459
Learning Path: R: Real-World Data Science Solutions with R,Packt Publishing,12.99,3.8,-10
24h Pro data science in R,Francisco Juretig,12.99,3.6,-25
Data Science on R By OrangeTree Global,OrangeTree Global,12.99,3.6,-3
Projects in Data Science Using R,Eduonix Learning Solutions Eduonix-Tech .,12.99,4.1,-6
